7338,5050 Photo Booth,5050 Photo Booth,"<p>Our open style booths provide the nostalgia of a traditional booth with a modern twist. &nbsp;We pride ourselves in providing the best quality photos, with a completely unique photo booth experience! <br /><br />We bring the WOW factor to your wedding with our custom designed prints, elegant props, beautiful backdrops and more!&nbsp;See how our booths are&nbsp;the perfect addition to your wedding!<br /><br />Contact us about our newest multi-camera&nbsp;experience, The Viva Booth! Now booking for 2020 and 2021!</p>
<p><br /><br /></p>
<p>&nbsp;</p>",info@5050photobooth.com,A Bride-To-Be From San Antonio Weddings,info@5050photobooth.com,https://www.facebook.com/5050PhotoBooth/,1.75535E+15,https://www.instagram.com/5050photobooth/,,5050 Photo Booth,This is what you need at your upcoming event. 5050 Photo Booth has the latest technology and the very best in entertainment. You can't go wrong with 5050 Photo Booth,"5050 photo, booth, photobooth, weddings san antonio",2102434767,,2102434767,
7451,Gala Event Catering & Events,A Gala Event Catering & Events,"<p class=""MsoNormal"" style=""line-height: normal; margin: 0in 0in 10pt; mso-margin-top-alt: auto; mso-margin-bottom-alt: auto;""><strong><em><span style=""font-family: 'Arial','sans-serif'; font-size: 10pt; mso-fareast-font-family: 'Times New Roman';"">We are ready to help your dream event come true.<br /> </span></em></strong><span style=""font-family: Arial, sans-serif; font-size: 10pt;""><br /> A Gala Event Catering&nbsp;</span><span style=""font-family: Arial, sans-serif; font-size: 10pt;"">was created by Jose Ibarra with the firm commitment to serve his clients. ""You will have at your disposal all of our knowledge, experience and passion in helping you realize the event of your dreams.""&nbsp;<br /> </span><br /> A Gala Event Catering<span style=""font-family: Arial, sans-serif; font-size: 10pt;"">&nbsp;is a professional company specializing in tasty and creative catering and dedicated to providing all your needs in order to make your wedding, anniversary, or quinceanera elegant and unforgettable.<br /> </span><span style=""font-family: 'Arial','sans-serif'; font-size: 10pt; mso-fareast-font-family: 'Times New Roman';""><br /> Your event is very important to us and your menu selection can be customized to achieve your complete satisfaction.<br /> </span><span style=""font-family: Arial, sans-serif; font-size: 10pt;""><br /> Please call 210-264-1395 or 210-697-1604 to arrange for a free, private tasting and lets discuss the needs of your special event. Our only goal is to ensure your event is </span>A Gala&nbsp;Event<span style=""font-family: Arial, sans-serif; font-size: 10pt;"">&nbsp;success!<br /> </span><span style=""font-family: Arial, sans-serif; font-size: 10pt;""><br /> Available 7 days a week.<br /> </span><strong><span style=""font-family: 'Arial','sans-serif'; font-size: 10pt; mso-fareast-font-family: 'Times New Roman';""><br /> &iexcl;Hablamos espa&ntilde;ol!</span></strong>&nbsp;</p>",jose@agalaeventcatering.com,A Bride-to-be from SanAntonioWeddings.com,jose@agalaeventcatering.com,https://www.facebook.com/pages/A-Gala-Event-Catering/269823346382902,2.69823E+14,,,"A Gala Event Catering & Events - San Antonio, TX",A Gala Event Catering is perfect for weddings and receptions in the San Antonio and Hill Country area.,"wedding catering san antonio, wedding caterers san antonio, wedding reception catering san antonio, wedding reception catering companies san antonio, rehearsal dinner catering san antonio, rehearsal dinner caterer san antonio, best wedding caterer san antonio, best wedding catering san antonio, 10 best wedding catering san antonio, 10 best wedding caterer san antonio",2102641395,2106971604,,
,,A Grand Occasion,"<p>At A Grand Occasion we truly understand that the most important day in a woman&rsquo;s life is her wedding day.&nbsp; We also understand that the many details involved and challenging opportunities can sometimes make for a very stressful experience.&nbsp; We want to help eliminate any and all stress involved so you may truly enjoy every single moment of your wedding.&nbsp; From its early planning stages, to the moment you step into your new life as the new Mrs., and up to the beginning of your honeymoon - we want to help make your wedding the most wonderful day of your life.</p>
<p>From floral&nbsp;and centerpieces to draping&nbsp;and&nbsp;lighting, A Grand Occasion can transform blank, banquet spaces to whimsical, wedding places.&nbsp; Let us assist you in ensuring that your wedding day is everything you have always dreamed it would be.&nbsp; Anyone can do great, let us make it Grand!</p>
<p>Call Rebecca at (210)724-0954 or visit her website for more information.</p>",rebecca@sagrandoccasion.com,A Bride-to-be from SanAntonioWeddings.com,rebecca@sagrandoccasion.com,https://www.facebook.com/pages/A-Grand-Occasion/136491583036554,1.36492E+14,,,A Grand Occasion San Antonio TX Wedding Floral and Design,A Grand Occasion...  Let us assist you in ensuring that your wedding day is everything you have always dreamed it would be. Serving San Antonio brides on the big day!,"wedding planner, Grand Occasion wedding consultant, san antonio, tx, grand occasion wedding planner, san antonio, tx, grand occasion, wedding planner, wedding flowers, wedding decorations, san antonio, tx, grand occasion, wedding",2107240954,,NULL,NULL
,,A Need For Place Settings,"<p><span style=""font-family: arial, helvetica, sans-serif;""><strong><em>Let <u>US</u> do the dishes!</em> <br /> <br /> </strong></span><span style=""font-family: arial, helvetica, sans-serif;"">A Need for Place Settings knows that it's not just <em>an event</em>... it's <em><strong>Your Event</strong></em></span><span style=""font-family: arial, helvetica, sans-serif;"">!&nbsp; Understanding that your special event should reflect your personal style is why unique place settings matter and we will&nbsp; work with you to create the setting you are looking for.&nbsp;<br /> <br /> </span><span style=""font-family: arial, helvetica, sans-serif;"">A wide selection of tabletop accessories to choose from&nbsp;help you make your event truly personal. A variety of crystal and all purpose stemware, casual and formal dinnerware, and flatware--the perfect finishing touch to ensure that your tabletops truly reflect your personality! <br /> <br /> Rentals are available to help you add some flair to any event. Perfect for in-home showers, engagement parties, bridal luncheons, and after-wedding brunches, as well as rehearsal dinners and receptions.&nbsp;<br /> <br /> </span><span style=""font-family: arial, helvetica, sans-serif;"">For your convenience, browse our beautiful selections on our website. Please call&nbsp;210-391-8274 for assistance&nbsp;creating the unique style you're looking for. <br /> <br /> </span><span style=""font-family: arial, helvetica, sans-serif;""><em>Delivery and pick-up available.</em> </span></p>",aneedforplacesettings@gmail.com,A Bride-To-Be from SanAntonioWeddings,aneedforplacesettings@gmail.com,,,,,Place setting rentals for your San Antonio wedding reception,A Need for Place Settings...San Antonio's place setting rentals for weddings.  Offering a side variety of bridal rentals for San Antonio.,"a need for place settings, weddings, dishes, dish rental plates, place settings, san antonio, tx, a need for place settings, weddings, dishes, silverware, china, flatware, stemware, dishes, dish rental, place settings, boerne",2103918274,,NULL,
7595,Royal Flush,A Royal Flush Rentals,"<p><span style=""font-family: arial, helvetica, sans-serif;"">If you're planning an outdoor celebration, you may find yourself needing portable restrooms. <strong><em>A Royal Flush</em></strong>&nbsp;is an air-conditioned full sized luxury mobile restroom that will graciously accommodate your most discriminating guest at your next special event. <br /> <br /> </span><span style=""font-family: arial, helvetica, sans-serif;"">The floors, walls, and roofs are thoroughly insulated so the air-conditioned and heated interiors always remain comfortable. <br /> <br /> </span><span style=""font-family: arial, helvetica, sans-serif;"">The unit is designed to accommodate all your guests with eight individual compartments to provide complete privacy. They are equipped with fresh water flush toilets plus diaper changing station, dual vanities with lavatories,&nbsp;mirrors,&nbsp;and handicap access.<br /> <br /> </span><span style=""font-family: arial, helvetica, sans-serif;"">Treat your guests to real comfort and convenience with our air-conditioned, ultra modern units. <br /> <br /> </span>For more information about A Royal Flush rentals, please contact Tom Daniels at 210-476-0738 or 210-930-3907.</p>",tommydaniels@yahoo.com,A Bride-To-Be from SanAntonioWeddings.com,tommydaniels@yahoo.com,,,,,A Royal Flush Luxury Mobile Restrooms perfect for an outdoor wedding in San Antonio Area,"A Royal Flush, Air-conditioned, full sized luxury mobile restroom accommodating your most discriminating guests at your next special event.","Tom Daniels, mobile restrooms, weddings, rentals, san antonio, tx, commode rentals, toilets,  restroom, restroom rental, mobile rentals, vanities, lavatories, san antonio, tx, a royal flush mobile restrooms, diaper changing station, p",2104760738,2109303907,NULL,
,,A Signature Event by Krista,"<p><em>A Signature Event by Krista will create a spectacular setting to help your dreams to come true. Through design and planning expertise, our company will efficiently and cost effectively make your event a unique happening and a stress free experience. Our objective is to create an atmosphere of trust; we want our couples to know that what we say is what we really mean. We provide creative weddings that have a high end feel with a value based budget; we want our couples to have the wedding of their dreams without breaking the bank. We provide a fun, no-stress experience; this is an exciting time in every couple's dreams and they should enjoy the whole experience leading up to and on their special day.<br /> </em></p>
<p style=""text-align: justify;""><em>A Signature Event by Krista will turn your ideas and creativity into reality. Our goal is to exceed your every wants and needs. Your day will be just that, ""your day"" filled with joy, smiles, and memories.</em></p>
<p style=""text-align: justify;"">&nbsp;<em>A Signature Event by Krista provides planning/consulting along with linens, floral, lighting, rentals, and decor.<br /> </em><br /> <span style=""color: #800080;""><strong>Want to learn more about our company? Check us out in the latest edition of San Antonio Weddings magazine!&nbsp;</strong></span><em><br /> </em></p>",info@asigevent.com,A Bride-to-be from SanAntonioWeddings.com,krista@asigevent.com,https://www.facebook.com/ASignatureEventByKrista,4.00204E+14,,,A Signature Event by Krista Wedding Planner San Antonio,A Signature Event by Krista. We provide creative weddings. We want our couples to have their dream wedding without breaking the bank.,"A Signature Event by Krista, Wedding Consulting, wedding planner, wedding coordinator, consultant, san antonio, tx, wedding planner. san antonio, A Signature event by Krista, special event coordinator, wedding consultant, wedding planner, san antonio, tx,",2103133193,,NULL,
7641,Very Good Hair Day,A Very Good Hair Day,"<p>Your wedding day is the single most memorable day of your life. We understand that at ""<strong><em>A Very Good Hair Day</em></strong><strong><em>""</em></strong> and we strive to put your needs first throughout the entire process. From the trial run to the portraits to the big DAY, we ensure that you will look and feel like royalty inside and out.<br /> <br /> OurÂ team of stylists will travel on location so that you can relax and enjoy the process without the stress of leaving your own home or hotel room. We will work to exceed your expectations for your hair and makeup to give you a timeless look.<br /> <br /> We specialize in customizing your hair and makeup to fit your desired look for your wedding day. We even provide a line of hair accessories that are made specifically for you. We don't design it until you order it. We have only had satisfied clients and we invite you to join the many brides who we've been privileged to work for.<br /> <br /> For more information, please contact Mary Coop at 210-836-5885.</p>",maryecoop@gmail.com,A Bride-to-be from SanAntonioWeddings.com,maryecoop@gmail.com,https://www.facebook.com/pages/San-Antonio-TX/A-Very-Good-Hair-Day/102507869806411,1.02508E+14,https://www.instagram.com/verygoodhairday/?hl=en,,"A Very Good Hair Day Wedding Makeup and Hair San Antonio, TX",A Very Good Hair Day. We will work to exceed your expectations for your hair and makeup to give you a timeless loo on your wedding day!,"a very good hair day, weddings, hair, on-location hair, makeup, san antonio, texas, a very good hair day, wedding makeup, wedding hair and makeup, san antonio, tx, a very good hair day, weddings, hair, makeup, make-up, make up, w",2108365885,,210-836-5885,NULL
7339,Absolute Rentals,Absolute Rentals,"<h2 id=""wsb-element-00000000-0000-0000-0000-000485841870"" class=""wsb-element-text"" style=""text-align: center;"" data-type=""element""><strong><span class=""editor_h1"" style=""color: #333399;"">Absolute Rentals</span><br class=""editor_h1"" /></strong></h2>
<div id=""wsb-element-00000000-0000-0000-0000-000485841830"" class=""wsb-element-text"" data-type=""element"">
<div class=""txt "" style=""text-align: center;""><strong>TABLES &bull; CHAIRS &bull; TENTS&nbsp;&bull; DANCE FLOORS &bull; STAGES &amp; MORE<br /><br /><span style=""color: #333399;"">'""Serving your Party Rental Needs''</span><br /><br /></strong>Event and Party Rentals<br />Receive a 10% discount off your first order by mentioning SA Weddings!*<br />Contact us at (210) 696-5376&nbsp;<br /><br />&nbsp;<em>&nbsp;""I love events and making them special for you!"" - Cyndi Lepp</em>
<h5 style=""text-align: center;"">Serving San Antonio and Surrounding Areas!&nbsp;</h5>
</div>
</div>",absolute_rentals@yahoo.com,Brides to Be San Antonio,absolute_rentals@yahoo.com,https://www.facebook.com/absoluterentalssa/,2.15074E+15,,,Absolute Rentals - San Antonio,Absolute Rentals - San Antonio,Absolute Rentals - San Antonio,2106965376,,,
7340,Absolutely Delicious Catering,Absolutely Delicious Catering & Event Staging,"<p align=""left""><span style=""color: #000000;"">&nbsp;<span style=""font-family: arial, helvetica, sans-serif;"">Veronica Esparza, a premier San Antonio Caterer, has worked with countless brides to meet their culinary needs and create the perfect menu. Our food is <strong>Absolutely Delicious </strong>and during your event planning, our staff always puts the needs of our customers first. <br /> <br /> </span><span style=""font-family: arial, helvetica, sans-serif;"">Presentation is also an important aspect to our services. As a San Antonio wedding planner, we put great time and care into your wedding catering and party planning creating the perfect setting for your perfect day. We will provide you with a wide selection of delicious meals to choose from and all are affordably priced.<br /> <br /> In addition to off-premise catering, if you're looking for a venue to host your event, consider the Crystal Room (formerly the Old San Francisco Steak House).&nbsp; The Crystal Room is&nbsp;beautifully transformed for your special event.<br /> <br /> </span><span style=""font-family: arial, helvetica, sans-serif;"">Call us at 210-342-2321&nbsp;to arrange a tasting.&nbsp;</span></span></p>
<p style=""text-align: center;""><em><span style=""color: #000000;""><strong>A Reputation of Delicious Food and First Class Service!</strong></span></em></p>",Leads@absolutelydelicious.com,Request For Info - Absolutely Delicious Catering,veronica@absolutelydelicious.com,https://www.facebook.com/Absolutely-Delicious-Catering-Events-111836682207558/,1.11837E+14,,,"Absolutely Delicious Wedding Catering & Event Staging San Antonio, TX","Absolutely Delicious Catering, a premier San Antonio Caterer, for your wedding reception or rehearsal dinner needs! Delicious food for any size wedding!","catering, weddings, caterer, cater, Veronica Esparza, san antonio, tx, absolutely delicious catering, food, wedding caterer, san antonio, tx, absolutely delicious catering, cater, wedding receptions, rehearsal dinners, san",2103422321,,,
7341,Adam Swift Photography,Adam Swift Photography,"<p>About my style. It conveys laughter, tears, euphoria, all the emotions a bride and groom experience throughout their wedding day.<br />I have always loved using film and although I shoot digitally now, I like to retain the classic look of film in my photography, with a strong emphasis on black and white, documenting your day unobtrusively. If this is a style that fits your vision, then please don't hesitate to contact me.</p>",info@adamswift.com,Bride to be San Antonio Weddings,info@adamswift.com,https://www.facebook.com/adamswiftphotog/,1.15839E+14,https://www.instagram.com/adamswiftphotography/,,"My style is about keeping it simple, with no direction or interruption. I believe staying unobtrusive as possible, is the best way in capturing those real moments.","My style is about keeping it simple, with no direction or interruption. I believe staying unobtrusive as possible, is the best way in capturing those real moments. That means no contrived imagery, or instruction as to how best a shot should look.","adam, swift, wedding, photography, san, antonio,",5622560370,,5622560370,
